Country Name,Country Code,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
South Sudan,SSD,Access to electricity (% of population),..,..,..,..,..,..,..,..,..,3,1.5,2.689738274,3.137244701,3.6088624,4.100572586,4.60835743,5.128197193,4.2,6.187970161,6.720535278
Chad,TCD,Access to electricity (% of population),3.186103821,3.558882475,3.923372984,4.278398991,3.5,4.955507278,5.279097557,5.599637032,5.923361301,6.256507397,6.4,8.98,7.859260082,8.115847588,8.405773163,7.7,9.240955353,10.9,10.12151718,8.4
Burundi,BDI,Access to electricity (% of population),2.439689159,2.801317215,3.154657125,3.498532534,3.831767321,3.207317073,2.66,4.775167942,4.8,5.40973711,5.3,6.106936455,6.5,6.9,7,8.403089523,9.251799583,9.3,10.59861469,11.0647974
Malawi,MWI,Access to electricity (% of population),4.8,5.136980057,5.558670044,6.2,6.9,6.762401581,3.653227333,7.520929813,7.901853561,8.292198181,8.7,7.6,7.4,9,11.9,10.8,11,12.7,18.02,11.2
Central African Republic,CAF,Access to electricity (% of population),6,5.761561871,6.226599216,6.682172775,7.127105236,7.560374737,7.805169325,8.40559864,7.48,9.263563156,9.8,10.3107233,10.89428234,11.45654297,12.05214119,12.74572849,13.49867058,14.16905403,14.6539526,14.3
Burkina Faso,BFA,Access to electricity (% of population),9.071893692,9.544128418,10.00807476,11.4,10.90639877,11.33857822,11.76162434,12.18161964,12.60480118,12.63,13.1,14.89940453,15.16293812,15.40517426,19.2,16.07070351,16.6396122,17.21655655,14.4,18.3791523
Niger,NER,Access to electricity (% of population),6.481481481,8.391811371,8.913032532,9.424788475,9.925904274,7.1,9.3,11.37294674,11.85340118,12.34327698,13.3953104,14.3,14.4,15.16402817,15.76677132,16.6,17.22759056,17.90511894,17.6,18.77472496
"Congo, Dem. Rep.",COD,Access to electricity (% of population),6.7,7.160378456,7.820706367,8.471570015,9.111793518,6,10.35978127,15.2,11.59572029,12.22470379,12.86934471,13.53587914,15.4,14.94590092,13.5,16.43629265,17.20158195,18.0063858,18.75225258,19.1
Sierra Leone,SLE,Access to electricity (% of population),..,..,..,..,16.8,11.33248552,12.33391953,13.07405567,12.1,14.5701189,11.46217307,14.2,16.94552612,13.5,18.6472683,19.52425957,20.3,23.4,26.1,22.7
Madagascar,MDG,Access to electricity (% of population),13.23051071,14.8,14.07401752,20.3,14.87966824,15.26551056,15.64221954,16.01587868,16.39272118,17.4,12.3,14.3,18.7,12.9,19.02375221,20.5437088,22.9,24.1,25.51556015,26.9071846
Liberia,LBR,Access to electricity (% of population),..,..,..,..,..,..,..,3,1.300314069,1.9,5.171546459,4.1,9.128644943,9.8,9.4,15.52771091,17.7,24.2,24.81807899,27.64920998
Mozambique,MOZ,Access to electricity (% of population),6.089135647,5.7,8.48664856,8.1,10.84630394,12.0091486,13.16286087,12.4,13.57122385,15,18.83759689,20.2,21.23671913,22.40603065,24.8,24,26.2693119,24.3,31.1,29.61616135
Guinea-Bissau,GNB,Access to electricity (% of population),..,..,..,..,..,..,14.5361991,7.998231411,9.323233604,4.7,6,13.37971306,14.7781086,16.20061493,17.2,20.14110756,23.04921532,26,28.51482964,31.0404129
Somalia,SOM,Access to electricity (% of population),..,..,7.4,9.908855438,11.49068165,13.06084442,15.23378582,16.17985535,17.7410202,19.31160545,20.89785004,22.50598717,24.14054489,25.79921341,27.47797585,29.17281151,30.87970161,32.5946312,34.31357574,36.0331955
Tanzania,TZA,Access to electricity (% of population),9.056112289,9.996443748,10.92848778,11.1,11.4,13.66328144,14.55442524,15.44251728,11.5,11.2,14.8,14.2,15.3,16.4,23.5,26.34278107,32.8,32.41840363,35.22945023,37.7
Rwanda,RWA,Access to electricity (% of population),6.2,5.579493046,6.699606895,7.810256004,8.910264969,4.8,11.07782459,12.15398788,6,14.32210445,9.7,10.8,17.5,15.2,19.8,22.8,29.37,34.1,34.74223709,37.78243637
Benin,BEN,Access to electricity (% of population),21.5398941,21.9,23.4730835,24.42607117,25.36841774,26.29910088,27.9,28.13915253,29.0608387,29.99194527,34.2,36.9,38.4,34.65625,34.1,29.62,37.08368683,34.5,39.23860168,40.31874084
Zimbabwe,ZWE,Access to electricity (% of population),33.85070419,34.21405029,34.2,34.91470718,35.24966049,35.57295227,37.2,36.1982193,36.51251221,43.36908187,40.45818329,36.9,44,38.3363533,32.3,33.7,39.67622757,40.14428329,40.61635971,41.08910751
Uganda,UGA,Access to electricity (% of population),7.318620205,8.6,7.8,10.62820339,11.71168518,8.9,9,14.90582466,15.9686451,10,12.1,14.6,20.37479401,13.9,20.4,18.5,26.7,32.72455978,42.7,41.3
Guinea,GIN,Access to electricity (% of population),15.46630478,16.70739174,17.94019127,19.16352463,20.3762188,20.2,22.76914978,23.95799637,25.15003014,26.3514843,27.56859589,28.80760193,26.2,31.36256409,32.67219543,33.9978981,33.5,35.4,44,42.41838837
Zambia,ZMB,Access to electricity (% of population),16.7,19.94420624,17.4,18.5,20.3,22.64341354,23.29265022,18.5,24.58820534,25.24699783,22,26.61779022,27.34055328,28.08742714,27.9,31.1,35.17316437,40.3,39.82230377,43
Lesotho,LSO,Access to electricity (% of population),4.258760108,1.270180345,3.403664827,5.527685165,6.8,9.742781639,9.7,13.9248991,16.01761818,17,17,22.37724686,20.56,26.73358154,27.8,31.78407669,35.18151093,33.7,47,44.64067841
Mali,MLI,Access to electricity (% of population),9.607888222,10.8,13.12046623,14.86314678,16.59518623,18.3155632,16.6,21.73500252,23.44638062,24.03089583,26.90363884,28.66198921,25.6,32.25564575,34.08462143,37.6,38.86705399,34.78,50.9,48.02124786
Eritrea,ERI,Access to electricity (% of population),29.20424271,30.30143547,32.2,32.46978378,33.53858566,34.5957222,35.64373016,36.68868637,37.73682404,38.79438782,39.86760712,40.96271896,42.0842514,43.22989655,44.3956337,45.57744598,46.77131271,47.9732132,49.17913818,50.38573074
Togo,TGO,Access to electricity (% of population),16.95623488,19.64577484,21.4203186,23.18539619,24.93983459,26.68261147,27.9,30.14684677,31.88062286,33.62382126,30.79174368,39.7,38.97059631,40.80187988,45.7,44.74192047,46.84999847,48,50,52.44109726
Namibia,NAM,Access to electricity (% of population),36.5,35.98637009,36.96955109,37.94327164,38.906353,39.85776901,40.80005264,43.7,42.68170547,44.1,44.60103989,42.3,46.60624313,47.4,48.70618057,51.6,49.7,52.5,53.96953964,55.19511795
Nigeria,NGA,Access to electricity (% of population),42.93611908,43.76881409,44.59322357,52.2,46.21246719,47.00510788,47.78861618,50.13091943,50.3,50.14577866,48,55.9,53.15390015,55.6,54.42453384,52.5,59.3,54.4,56.5,55.4
"Gambia, The",GMB,Access to electricity (% of population),34.3,29.86666489,31.50168228,27.8,34.74214935,30.4562675,37.93951416,39.53058243,41.12483215,42.728508,47.41400146,48.81459427,50.1972847,51.5,52.95340729,54.44612503,55.99819565,56.2,60.3,59.92128754
Djibouti,DJI,Access to electricity (% of population),56.3621521,56.37202072,49.7,56.36572266,56.34719849,56.31701279,55.5,56.23532486,56.19614029,56.16637802,56.15227127,56.16006088,54.6,56.25259018,56.6339035,57.66145325,58.74835587,60.2,60.57155991,61.27593613
Cameroon,CMR,Access to electricity (% of population),41,46.2,44.06614304,45.16857147,47.1,47.34048462,49,48.2,50.55054855,51.63109589,52.72730255,53.7,54.98992157,56.15855408,56.8,58.55207825,59.76893234,60.99382401,62.2,63.45231247
Papua New Guinea,PNG,Access to electricity (% of population),8.552684784,10.67140293,12.7818327,14.88279724,16.97312164,19.05178452,12.4,23.18779182,25.25745583,17.2,19.5,31.54792023,33.69097519,35.85814667,39.45996475,44.36001587,49.4,54.4,58.88763428,63.46451187
Vanuatu,VUT,Access to electricity (% of population),22.15377617,23.97912407,25.79618454,27.60378265,29.40073776,31.18603134,26.44,33.62462006,36.51159668,33.29111519,44.1,41.92195511,43.77164078,31.7,49.07717133,52.2941246,57.82,62.8,61.77245331,64.66623688
Libya,LBY,Access to electricity (% of population),99.8,97.11643982,95.42716217,93.72841644,92.01903534,90.29798889,88.56781006,86.83457947,85.10453796,83.38391876,81.67895508,79.99588013,78.3392334,76.70668793,75.09424591,73.4978714,71.91355133,70.33727264,67,68.53218842
Cote d'Ivoire,CIV,Access to electricity (% of population),48.67458344,49.66616821,51.4,51.62330627,52.58650208,58.9,60.17105263,55.41978073,60.3,57.31427383,58.28188705,55.8,55.8,61.32735825,61.9,62.6,64.3,65.6,67.17237091,68.55010986
Kenya,KEN,Access to electricity (% of population),15.14182186,17.0676403,18.98517036,16,22.79066277,24.67642593,26.55305481,28.42663383,30.30339813,23,19.2,36.01516342,37.96532059,39.93959045,36,41.6,53.1,56.09143066,61.43641663,69.7
Botswana,BWA,Access to electricity (% of population),27.27221298,24.8,31.68865013,33.88325882,36.06723022,38.23953629,40.40270996,42.56283188,44.5,43.36,51.78107071,53.24,55.87431335,57.89068604,59.94039536,62.13,64.29515076,67.4,68.35865784,70.18318176
Solomon Islands,SLB,Access to electricity (% of population),4.551740646,7.53202343,10.50401783,13.46654797,16.41843796,19.35866356,14.4,12.9,28.14903069,21.2,34.20810318,38.22459793,42.22318649,44.7,50.21110916,55.1,58.48770142,62.9,66.47304535,70.25849152
Senegal,SEN,Access to electricity (% of population),37.74,38.77428055,36.8,42.02547073,36.8,47.1,49.9,48.4100647,49.99962616,53.5,56.5,56.5,56.5,57,61,60.5,64.5,61.7,66,70.4
"Yemen, Rep.",YEM,Access to electricity (% of population),49.18035126,50.36064148,51.53264236,52.6951828,49.59,54.98731232,55.80033463,57.24646759,58.37770462,59.51836014,60.67467499,61.88527298,52.41,75.6,66.1,67.39666748,68.9187088,79.2,62,72.75170135
Pakistan,PAK,Access to electricity (% of population),70.34899139,70.42551422,70.4937439,70.55251312,70.60064697,70.63711548,70.6644516,70.68873596,70.71620178,70.7530899,70.80564117,70.88008118,70.98094177,71.10591888,71.25098419,71.41212463,71.58531952,70.79,72.63497925,73.91436005
Sao Tome and Principe,STP,Access to electricity (% of population),52.9,51.53033447,52.64903641,53.75827026,54.85686493,55.94379807,57.02159882,58.09634781,59.17428207,56.9,61.36465073,62.48955536,57.9,64.81632233,68.6,67.26376343,69.42658234,74.27,71,75.18190765
Guyana,GUY,Access to electricity (% of population),74.48694611,75.09686279,75.69849396,76.29065704,76.87217712,77.5,73.38258786,78.56044006,79.12129974,77.6,82.98226166,83.99753571,84.99491119,85.97098541,86.9,88.08779907,89.25455475,90.33874512,91.23745728,92.02169037
Bangladesh,BGD,Access to electricity (% of population),32,35.109272,37.88195801,40.64517975,40.6,44.23,50.52510246,46.5,54.33111954,57.07246017,55.26,59.6,65.41366577,61.5,62.4,74.44007874,75.92,88,91.8,92.2
Belize,BLZ,Access to electricity (% of population),79,80.2023468,81.06098175,81.91015625,82.74869537,83.57556152,90.98853086,85.20799255,86.02586365,86.85315704,89.91722437,91.68173599,90.98912048,91.16732788,91.37887573,91.8,93.21820831,94.18984222,91.72,92.72
Honduras,HND,Access to electricity (% of population),67.37645721,64.2,63.141137,65.090464,67.113528,68.903309,71.266448,73.548187,76.396899,78.269685,80.984668,82.195298,83.607727,87.184881,88.653773,89.98171,91.6,86.5,91.6,92.77952576
Cambodia,KHM,Access to electricity (% of population),16.6,15.44084358,18.73940277,19.3,25.30695152,20.5,31.83140182,35.08600998,26.4,41.61101913,31.1,48.19865799,51.52984238,54.88513947,56.1,68.84770203,76.62667847,89.07,91.83401489,93
Timor-Leste,TLS,Access to electricity (% of population),..,25.6,23.92528915,27.7,30.75041008,34.14598846,37.53243256,36.6,44.30240631,47.69840622,38,54.54361725,58.00358963,61.4876709,73.47,67.28153394,76.5,83.23754883,89.03410339,94.71617889
Grenada,GRD,Access to electricity (% of population),85.93244171,86.32830811,86.71588898,87.0940094,87.46147919,87.81729126,88.16397095,88.50760651,90,89.21065521,89.58255005,88.8,90.39653778,90.84085846,91.30526733,92.20235443,93.19223785,94.09955597,94.82138824,95.42874146
Cabo Verde,CPV,Access to electricity (% of population),..,..,58.6,63.26335907,65.22930145,67,69.12872314,71.07081604,73.01609802,74.97080231,81.1,79.46784973,80.95207977,82.99486542,85.05774689,87.13669586,89.22769928,91.32674408,93.42980957,95.53353882
Philippines,PHL,Access to electricity (% of population),74.65086365,75.73733521,76.81551361,76.6,87.6,79.98873138,80.18,82.06024933,83.3,84.3,85.39570618,87.2,87.08,87.5,89.69213867,89.08,92.04637146,93,94.43275452,95.62862396
Guatemala,GTM,Access to electricity (% of population),73.318205,73.75078583,78.667838,78.512204,77.30284882,78.46495819,83.730998,80.76786804,81.92097473,83.08351135,84.26170349,84.026414,86.68829346,87.93890381,85.494371,90.49639893,91.79523468,93.3,94.41300964,95.72457123
Panama,PAN,Access to electricity (% of population),81.40141009,81.45373535,82.2257843,87.8,83.74030304,84.48058319,85.21173096,85.93982697,86.67110443,87.41181183,86.85,88.94641876,89.75109863,89.1,91.42875671,92.2937088,93.17071533,93.7,94.94482422,95.83455658
Bolivia,BOL,Access to electricity (% of population),69.963045,69.258539,63.996855,72.3,76.04425049,68.288209,76.211281,80.156567,84.674991,86.765597,88.31281281,88.335943,90.387375,89.505686,90.038729,91.522822,91.8,91.8,92.8,96.30310059
Jamaica,JAM,Access to electricity (% of population),84.38311005,87.708112,86.681291,86.67273712,87.41622925,88.14806366,88.87075806,89.59040833,92,91.04549408,92.2,91.1,93.1,93.9,93.3,94.9,96.7452774,97.62187195,98.50248718,99.3837738
Vietnam,VNM,Access to electricity (% of population),87.80696106,88.61237335,89.1,90.19715118,90.9741745,96.1,96,93.24891663,94.00527954,96.1,97.43,99,97.89,98.53603363,99.2,99.80340576,99.2,100,100,99.4
St. Lucia,LCA,Access to electricity (% of population),..,89.9,90.38272858,90.88391113,91.37445831,91.85334015,92.3230896,92.78979492,93.25967407,93.73898315,94.2,94.75908661,95.34342258,95.86147308,96.44895172,97.05250549,97.67999268,98.29696655,98.91943359,99.54777527
Morocco,MAR,Access to electricity (% of population),69.55908966,71.36521149,73.16304016,74.95140839,78.2,78.49519348,96.5,82.00601196,83.76307678,85.5295639,92.59702301,93.38168335,94.14844513,97.2,91.6,97.3,97.8,100,98.1,99.6
Tajikistan,TJK,Access to electricity (% of population),98.46774194,98.62453461,99,100,98.6827774,99.3,98.6686554,98.65396881,98.64247894,99,98.65398407,98.68946075,99.1,98.83737183,98.94347382,98,99.19988251,99.3,99.3,99.63539124
Costa Rica,CRI,Access to electricity (% of population),96.94,98.24978,98.509188,98.695902,98.954779,99.053051,99.147523,99.217998,99.263937,99.409804,98.995734,99.232348,99.503298,99.563517,99.359291,99.409804,99.5,99.6,99.7,99.71
Colombia,COL,Access to electricity (% of population),95.2,98.47,94.93788147,95.18396759,95.41941833,96.8,95.85785675,96.06945801,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938,98.186898,98.4,98.5,98.5,99.7662735
Brazil,BRA,Access to electricity (% of population),94.36400604,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,99.35217285,99.328691,99.519494,99.575151,99.650247,99.710902,99.7,99.8,99.7,99.8
Cuba,CUB,Access to electricity (% of population),97,96.21989441,95.5,96.55662537,96.70960999,96.85093689,96.98313141,97.11227417,97.24460602,97.38635254,97.54376221,97.72306824,97.92878723,98.15862274,98.40854645,98.67454529,98.95259857,99.23869324,99.52880096,99.8
Serbia,SRB,Access to electricity (% of population),100,100,100,100,100,99.69072165,100,100,100,100,99.718398,100,100,99.92,99.66079793,99.9,100,100,100,99.8
