on road old,on road now,years,km,rating,condition,top speed,current price
594689,701319,6,140656,3,8,182,98254.00
536806,725621,3,133466,4,2,161,97969.00
510950,762880,3,136240,5,6,156,97526.00
524395,783352,2,139517,4,2,179,96554.00
673958,842763,5,55722,3,10,151,584267.50
676577,855183,5,52489,2,9,153,584116.50
675305,845749,5,52086,4,6,179,555336.50
619188,880381,3,60367,3,9,178,538075.50
696353,796972,7,55340,3,8,169,533610.50
572334,897566,7,55973,3,9,177,532570.50
691388,811335,6,61559,3,9,160,531114.50
557537,807222,4,50714,1,10,178,529318.50
663534,859927,5,58938,1,6,171,528607.50
553490,894415,3,56331,3,9,183,528418.50
593508,899797,3,56201,5,6,144,527409.50
614671,850494,4,52443,2,6,163,526502.50
596991,815999,6,58064,3,10,137,520659.50
546188,876416,4,53309,5,8,160,515722.50
619831,780397,4,53513,3,9,174,515454.00
679306,783183,5,53831,4,2,161,515167.50
696589,814817,7,70964,2,10,195,513722.50
633227,838144,7,55789,3,7,162,512885.50
694214,882922,5,76648,3,9,198,510361.50
638236,793819,3,51693,3,1,138,509506.50
601097,848296,7,59454,3,9,135,508328.50
684407,759618,5,55203,5,6,179,505336.50
602529,869728,3,61880,3,8,179,505223.50
591081,843578,2,54601,5,6,198,504643.50
685806,898347,3,76363,4,8,152,503606.50
568688,885904,4,58427,5,7,181,503307.50
589290,827825,5,58548,3,9,182,502708.50
697555,716161,5,63403,1,10,174,501920.50
508370,862188,6,57881,5,10,189,501662.50
632159,818801,2,57124,2,6,152,501083.50
669877,772794,3,55313,2,4,140,500679.50
644241,874805,7,63098,3,2,187,499185.50
587022,811616,4,50888,5,4,151,497572.50
542326,805591,4,56985,4,10,145,496293.50
664671,813825,3,62177,2,6,160,494575.50
567270,866846,2,56829,4,6,144,494345.50
681606,874791,4,71430,2,5,140,493806.50
694439,834193,5,68013,3,5,179,492681.50
574756,890770,5,61160,3,6,167,490779.50
663651,834585,7,64973,4,7,186,490000.50
508009,891736,6,54712,4,7,148,486308.50
643744,742863,4,64764,4,10,151,484480.50
635177,864741,3,67689,4,6,176,483708.50
683410,824040,7,67696,4,7,175,483663.50
606327,838077,3,60414,3,5,164,482353.50
538205,838310,2,52701,3,5,143,479318.50
638318,865954,5,68619,3,4,147,476969.50
691280,882416,3,90028,3,10,163,476955.50
611299,829039,6,60160,3,1,161,475984.50
573022,817830,6,54169,3,2,191,475273.50
557635,798449,3,50815,3,1,181,475001.50
657738,856807,7,72872,4,8,174,474562.50
502932,874387,7,51547,2,1,146,474281.50
677183,811853,7,66367,5,4,147,472972.50
620611,890441,4,71450,5,4,184,471527.50
647888,834728,6,67098,5,2,193,470890.50
576623,876236,3,64751,5,1,176,469084.50
662990,891569,6,76546,1,2,146,467471.50
627569,893649,4,73332,1,1,199,467074.50
544374,858658,6,58398,4,4,182,465338.50
655171,797665,6,64547,1,2,172,464634.50
683685,754601,6,70511,2,9,185,463054.50
522705,843629,2,55690,4,5,190,462715.50
543184,841354,7,57662,4,7,151,462397.50
601439,749264,5,53174,2,4,138,461900.50
671630,845889,4,78714,1,8,155,460019.50
624535,801702,5,67075,1,8,138,459914.50
647956,859535,6,85070,1,10,158,459833.50
568580,820067,7,56749,2,4,135,459686.50
574876,759437,3,52498,1,5,137,458833.50
588392,831774,7,61101,4,4,158,458591.50
691841,794219,5,71198,5,2,146,458463.50
629587,818914,2,74161,4,9,179,457880.50
680056,742511,7,61687,4,2,154,456840.50
563396,793145,4,56387,4,6,173,456827.50
547423,780992,5,53658,2,7,167,456653.50
688314,872806,7,86468,4,9,193,456554.50
623825,729335,2,56523,5,6,155,456154.50
563886,860148,3,64481,5,1,163,455824.50
593981,840526,4,65756,3,3,200,454168.50
601674,802226,2,62186,3,3,191,453672.50
698719,801608,3,82517,5,9,167,451307.50
508356,799162,7,61116,2,10,185,451140.50
623158,878859,6,74674,5,1,158,450198.50
698222,795721,4,74606,4,3,181,448905.50
522640,787740,3,56023,4,8,165,448106.50
617887,790305,4,66427,1,7,158,446487.50
500921,792216,6,56937,5,9,185,446300.50
627403,785111,7,64701,4,6,186,443735.50
631367,731363,4,59806,2,2,156,441863.50
616371,852340,6,74383,1,7,166,441561.50
512638,820109,6,55592,4,4,142,441395.50
558107,798353,3,59619,1,3,142,440044.50
658059,710293,2,61132,1,2,169,439864.50
671058,843316,5,79458,5,1,156,439639.50
676306,723288,2,66457,1,6,160,438032.50
649156,810867,6,72457,4,4,153,437540.50
600109,884745,7,74321,2,2,192,437043.50
578908,850550,7,72391,5,8,163,435007.50
524904,774466,6,65811,5,10,153,434336.50
667370,760930,6,69230,2,1,151,433615.50
598099,765290,7,67520,2,9,141,432951.50
673122,897238,3,88278,1,2,148,432159.50
583113,810435,6,67036,5,6,167,430451.50
577540,791477,7,65717,1,8,186,429837.50
699714,862931,6,89279,2,7,153,428955.50
631154,863117,4,92461,5,10,194,428602.50
609622,753566,7,61872,2,5,191,427496.50
584786,896839,6,84933,3,9,159,427132.50
658355,774347,2,74667,4,7,167,426796.50
544189,818471,3,63875,4,2,136,426479.50
650757,759867,7,69950,1,7,170,425777.50
625785,796611,4,71337,2,1,185,425567.50
510675,817125,6,58928,4,1,180,425083.50
629254,870586,7,83524,2,8,194,424107.50
640397,883688,3,86838,1,7,181,423231.50
612406,885832,6,93572,5,10,142,422774.50
653099,797771,2,88306,2,10,196,422439.50
543821,838477,2,68391,2,6,146,421679.50
629451,895138,4,97989,5,10,135,421655.50
588202,793072,3,68068,2,5,156,420102.50
634648,822670,7,79220,1,8,200,420075.50
513242,812506,7,59097,4,1,168,418871.50
500265,753148,7,52701,5,7,184,417693.50
638714,750236,3,69965,1,4,144,415231.50
590105,779743,5,67295,4,2,199,414938.50
679088,710099,7,72223,2,8,163,413954.50
653978,750919,7,70600,1,5,161,413424.50
515637,718016,5,52974,1,7,185,412014.50
633344,756063,5,78025,1,9,171,410877.00
681432,882715,4,100348,4,9,179,410403.50
671630,707361,2,70246,4,2,187,409312.50
630842,709467,6,64667,4,4,150,408860.50
683369,755676,6,89354,1,10,140,408452.50
541957,809796,6,68188,4,7,186,408405.50
505785,856378,2,68343,3,3,157,408203.50
533513,730049,6,55316,3,3,159,407127.50
594696,855105,3,87005,3,9,142,406657.50
565719,767052,3,65293,4,4,193,406349.50
548861,857901,2,75116,5,3,158,404800.50
530082,846632,5,78169,2,9,181,403886.50
623763,771524,7,71571,1,2,136,403213.50
600974,835783,5,91449,5,10,149,402812.50
697098,712590,6,75011,1,1,187,401120.50
596907,895080,2,88420,2,7,173,401011.50
554778,873033,2,78535,3,4,185,400606.50
588251,738419,7,63815,4,1,142,400444.50
680035,857076,3,92691,4,5,145,400027.50
660665,842967,4,88153,3,1,152,399055.50
669406,846187,2,90273,5,2,186,398513.50
682642,822524,3,89634,1,2,183,394208.50
617306,714214,6,79797,1,10,192,392920.50
597016,787804,6,74444,5,3,188,392635.50
670656,871042,4,95020,5,2,182,392097.50
565452,735371,3,65422,5,4,155,390915.50
619141,712376,5,68811,5,2,152,390756.50
503374,781364,7,61478,4,5,161,390305.50
645738,863715,4,103761,4,10,162,389925.50
668006,792678,4,85600,1,4,181,388209.50
666176,867026,4,98867,2,8,196,387321.50
696006,890823,7,100188,4,4,143,385556.50
690836,800089,6,89533,1,5,180,385248.50
519091,843455,3,74762,2,5,138,383875.50
693986,727374,3,82191,5,1,139,383570.50
607647,798207,7,78435,5,3,192,382794.50
593348,736659,6,70499,5,5,184,382461.50
577040,723283,3,74489,1,9,179,381846.50
579359,888002,2,88139,1,1,200,381351.50
589700,754619,2,73033,4,3,143,380928.50
667176,740200,6,80059,2,4,157,380289.50
